Source,Destination,Protocol
212.96.161.238,192.168.1.2,HTTP
212.96.161.238,192.168.1.2,TCP
216.218.224.233,192.168.1.102,HTTP
216.218.224.233,192.168.1.102,TCP
216.218.224.233,192.168.1.103,HTTP
216.218.224.233,192.168.1.103,TCP
216.218.224.233,192.168.1.104,HTTP
216.218.224.233,192.168.1.104,TCP
216.218.224.233,192.168.1.105,HTTP
216.218.224.233,192.168.1.105,TCP
216.218.224.235,192.168.1.102,HTTP
216.218.224.235,192.168.1.102,TCP
216.218.224.235,192.168.1.103,HTTP
216.218.224.235,192.168.1.103,TCP
216.218.224.235,192.168.1.104,HTTP
216.218.224.235,192.168.1.104,TCP
216.218.224.235,192.168.1.105,HTTP
216.218.224.235,192.168.1.105,TCP
216.218.224.241,192.168.1.103,HTTP/XML
216.218.224.241,192.168.1.103,TCP
216.218.224.241,192.168.1.2,HTTP/XML
216.218.224.241,192.168.1.2,TCP
217.135.32.99,192.168.1.105,HTTP
217.135.32.99,192.168.1.105,TCP
24.167.33.51,192.168.1.3,TCP
24.167.33.51,192.168.1.3,TLSv1
38.103.37.243,192.168.1.102,HTTP
38.103.37.243,192.168.1.102,TCP
38.103.37.243,192.168.1.103,HTTP
38.103.37.243,192.168.1.103,TCP
38.103.37.243,192.168.1.105,HTTP
38.103.37.243,192.168.1.105,TCP
38.103.37.243,192.168.1.2,HTTP
38.103.37.243,192.168.1.2,TCP
4.2.2.2,192.168.1.101,DNS
4.2.2.2,192.168.1.2,DNS
4.2.2.3,192.168.1.101,DNS
4.2.2.3,192.168.1.2,DNS
4.2.2.3,192.168.1.50,DNS
4.2.2.4,192.168.1.101,DNS
4.2.2.4,192.168.1.2,DNS
4.2.2.4,192.168.1.50,DNS
63.245.209.10,192.168.1.2,HTTP
63.245.209.10,192.168.1.2,TCP
63.245.209.91,192.168.1.2,TCP
63.245.209.91,192.168.1.2,TLSv1
63.245.209.93,192.168.1.102,HTTP
63.245.209.93,192.168.1.102,TCP
63.245.209.93,192.168.1.104,HTTP
63.245.209.93,192.168.1.104,TCP
63.245.209.93,192.168.1.2,HTTP
63.245.209.93,192.168.1.2,TCP
64.4.18.73,192.168.1.2,HTTP
64.4.18.73,192.168.1.2,TCP
65.120.238.2,192.168.1.105,HTTP/XML
65.120.238.2,192.168.1.105,TCP
65.242.27.32,192.168.1.2,TCP
65.54.87.223,192.168.1.2,HTTP
65.54.87.223,192.168.1.2,TCP
65.54.87.229,192.168.1.2,HTTP
65.54.87.229,192.168.1.2,TCP
65.54.95.140,192.168.1.103,HTTP
65.54.95.140,192.168.1.103,TCP
65.54.95.192,192.168.1.105,HTTP
65.54.95.192,192.168.1.105,TCP
65.54.95.203,192.168.1.105,HTTP
65.54.95.203,192.168.1.105,TCP
65.54.95.57,192.168.1.102,HTTP
65.54.95.57,192.168.1.102,TCP
65.55.119.90,192.168.1.105,HTTP
65.55.119.90,192.168.1.105,TCP
65.55.119.90,192.168.1.2,HTTP
65.55.119.90,192.168.1.2,TCP
65.55.149.121,192.168.1.2,HTTP
65.55.149.121,192.168.1.2,TCP
65.55.15.124,192.168.1.2,HTTP
65.55.15.124,192.168.1.2,TCP
65.55.15.125,192.168.1.2,HTTP
65.55.15.125,192.168.1.2,TCP
65.55.15.241,192.168.1.2,HTTP
65.55.15.241,192.168.1.2,TCP
65.55.17.26,192.168.1.2,HTTP
65.55.17.26,192.168.1.2,TCP
65.55.17.27,192.168.1.2,HTTP
65.55.17.27,192.168.1.2,TCP
65.55.18.18,192.168.1.2,HTTP
65.55.18.18,192.168.1.2,TCP
65.55.184.155,192.168.1.105,HTTP
65.55.184.155,192.168.1.105,TCP
65.55.184.155,192.168.1.105,TLSv1
65.55.184.27,192.168.1.2,HTTP
65.55.184.27,192.168.1.2,TCP
65.55.185.26,192.168.1.104,HTTP
65.55.185.26,192.168.1.104,TCP
65.55.185.26,192.168.1.104,TLSv1
65.55.239.164,192.168.1.2,HTTP
65.55.239.164,192.168.1.2,TCP
65.55.239.188,192.168.1.2,HTTP
65.55.239.188,192.168.1.2,TCP
65.55.27.220,192.168.1.103,HTTP
65.55.27.220,192.168.1.103,TCP
65.55.27.220,192.168.1.103,TLSv1
65.55.53.190,192.168.1.2,HTTP
65.55.53.190,192.168.1.2,TCP
65.55.53.190,192.168.1.2,TLSv1
66.102.7.102,192.168.1.105,HTTP/XML
66.102.7.102,192.168.1.105,TCP
66.140.34.43,192.168.1.3,TCP
66.140.34.43,192.168.1.3,TLSv1
66.235.139.54,192.168.1.2,HTTP
66.235.139.54,192.168.1.2,TCP
67.159.83.125,192.168.1.3,TCP
67.159.83.125,192.168.1.3,TLSv1
67.228.110.120,192.168.1.3,HTTP
67.228.110.120,192.168.1.3,TCP
69.22.138.139,192.168.1.2,HTTP/XML
69.22.138.139,192.168.1.2,TCP
70.128.12.114,192.168.1.3,TCP
70.128.12.114,192.168.1.3,TLSv1
70.173.120.121,192.168.1.3,TCP
70.173.120.121,192.168.1.3,TLSv1
74.124.204.130,192.168.1.2,HTTP
74.124.204.130,192.168.1.2,TCP
74.125.103.103,192.168.1.2,HTTP
74.125.103.103,192.168.1.2,TCP
74.125.127.100,192.168.1.2,HTTP/XML
74.125.127.100,192.168.1.2,TCP
74.125.127.101,192.168.1.2,HTTP
74.125.127.101,192.168.1.2,TCP
74.125.127.109,192.168.1.2,TCP
74.125.127.109,192.168.1.2,TLSv1
74.125.127.113,192.168.1.2,HTTP
74.125.127.113,192.168.1.2,HTTP/XML
74.125.127.113,192.168.1.2,TCP
74.125.127.136,192.168.1.2,TCP
74.125.127.136,192.168.1.2,TLSv1
74.125.127.138,192.168.1.2,HTTP
74.125.127.138,192.168.1.2,TCP
74.125.127.139,192.168.1.2,HTTP
74.125.127.139,192.168.1.2,TCP
74.125.127.148,192.168.1.2,HTTP
74.125.127.148,192.168.1.2,TCP
74.125.127.91,192.168.1.2,TCP
74.125.127.91,192.168.1.2,TLSv1
74.125.127.96,192.168.1.2,HTTP
74.125.127.96,192.168.1.2,TCP
74.125.127.99,192.168.1.2,HTTP
74.125.127.99,192.168.1.2,TCP
74.125.127.99,192.168.1.2,TLSv1
74.125.15.153,192.168.1.2,HTTP
74.125.15.153,192.168.1.2,TCP
74.125.15.18,192.168.1.2,HTTP
74.125.15.18,192.168.1.2,TCP
74.125.15.35,192.168.1.2,HTTP
74.125.15.35,192.168.1.2,TCP
74.125.155.100,192.168.1.2,HTTP
74.125.155.100,192.168.1.2,TCP
74.125.155.102,192.168.1.2,HTTP
74.125.155.102,192.168.1.2,TCP
74.125.155.138,192.168.1.2,HTTP
74.125.155.138,192.168.1.2,TCP
74.125.155.139,192.168.1.2,HTTP
74.125.155.139,192.168.1.2,TCP
74.125.155.147,192.168.1.2,HTTP
74.125.155.147,192.168.1.2,TCP
74.125.155.149,192.168.1.2,HTTP
74.125.155.149,192.168.1.2,TCP
74.125.155.190,192.168.1.2,HTTP
74.125.155.190,192.168.1.2,TCP
74.125.164.103,192.168.1.104,HTTP
74.125.164.103,192.168.1.104,TCP
74.125.164.151,192.168.1.2,HTTP
74.125.164.151,192.168.1.2,TCP
74.125.164.153,192.168.1.2,HTTP
74.125.164.153,192.168.1.2,TCP
74.125.164.161,192.168.1.2,HTTP
74.125.164.161,192.168.1.2,TCP
74.125.164.208,192.168.1.2,HTTP
74.125.164.208,192.168.1.2,TCP
74.125.164.229,192.168.1.2,HTTP
74.125.164.229,192.168.1.2,TCP
74.125.164.81,192.168.1.102,HTTP
74.125.164.81,192.168.1.102,TCP
74.125.164.81,192.168.1.104,HTTP
74.125.164.81,192.168.1.104,TCP
74.125.164.82,192.168.1.2,HTTP
74.125.164.82,192.168.1.2,TCP
74.125.164.85,192.168.1.102,HTTP
74.125.164.85,192.168.1.102,TCP
74.125.164.85,192.168.1.104,HTTP
74.125.164.85,192.168.1.104,TCP
74.125.164.86,192.168.1.102,HTTP
74.125.164.86,192.168.1.102,TCP
74.125.164.86,192.168.1.104,HTTP
74.125.164.86,192.168.1.104,TCP
74.125.164.94,192.168.1.102,HTTP
74.125.164.94,192.168.1.102,TCP
74.125.164.94,192.168.1.104,HTTP
74.125.164.94,192.168.1.104,TCP
74.125.164.96,192.168.1.102,HTTP
74.125.164.96,192.168.1.102,TCP
74.125.164.97,192.168.1.104,HTTP
74.125.164.97,192.168.1.104,TCP
74.125.19.100,192.168.1.102,HTTP
74.125.19.100,192.168.1.102,TCP
74.125.19.101,192.168.1.104,TCP
74.125.19.101,192.168.1.105,HTTP/XML
74.125.19.101,192.168.1.105,TCP
74.125.19.102,192.168.1.102,HTTP
74.125.19.102,192.168.1.102,TCP
74.125.19.102,192.168.1.104,HTTP
74.125.19.102,192.168.1.104,TCP
74.125.19.102,192.168.1.105,HTTP
74.125.19.102,192.168.1.105,TCP
74.125.19.103,192.168.1.102,HTTP
74.125.19.103,192.168.1.102,TCP
74.125.19.113,192.168.1.102,HTTP
74.125.19.113,192.168.1.102,TCP
74.125.19.113,192.168.1.104,HTTP
74.125.19.113,192.168.1.104,TCP
74.125.19.138,192.168.1.102,HTTP
74.125.19.138,192.168.1.102,TCP
74.125.19.138,192.168.1.104,HTTP
74.125.19.138,192.168.1.104,TCP
74.125.19.139,192.168.1.102,HTTP
74.125.19.139,192.168.1.102,TCP
74.125.19.147,192.168.1.104,HTTP
74.125.19.147,192.168.1.104,TCP
74.125.19.99,192.168.1.102,HTTP
74.125.19.99,192.168.1.102,TCP
74.125.53.100,192.168.1.2,HTTP
74.125.53.100,192.168.1.2,TCP
74.125.53.102,192.168.1.2,HTTP
74.125.53.102,192.168.1.2,TCP
74.125.53.138,192.168.1.2,HTTP
74.125.53.138,192.168.1.2,TCP
74.125.53.138,192.168.1.2,TLSv1
74.125.53.149,192.168.1.2,HTTP
74.125.53.149,192.168.1.2,TCP
74.125.53.154,192.168.1.2,HTTP
74.125.53.154,192.168.1.2,TCP
74.125.53.157,192.168.1.2,HTTP
74.125.53.157,192.168.1.2,TCP
74.73.211.157,192.168.1.3,TCP
74.73.211.157,192.168.1.3,TLSv1
77.67.44.206,192.168.1.102,HTTP
77.67.44.206,192.168.1.102,TCP
77.67.44.206,192.168.1.104,HTTP
77.67.44.206,192.168.1.104,TCP
77.67.44.206,192.168.1.2,HTTP
77.67.44.206,192.168.1.2,TCP
8.5.245.66,192.168.1.2,HTTP
8.5.245.66,192.168.1.2,HTTP/XML
8.5.245.66,192.168.1.2,TCP
82.94.164.162,192.168.1.2,HTTP
82.94.164.162,192.168.1.2,TCP
87.106.1.47,192.168.1.102,HTTP
87.106.1.47,192.168.1.102,TCP
87.106.1.47,192.168.1.103,HTTP
87.106.1.47,192.168.1.103,TCP
87.106.1.47,192.168.1.104,HTTP
87.106.1.47,192.168.1.104,TCP
87.106.1.47,192.168.1.105,HTTP
87.106.1.47,192.168.1.105,TCP
87.106.1.47,192.168.1.2,HTTP
87.106.1.47,192.168.1.2,TCP
87.106.1.89,192.168.1.102,HTTP
87.106.1.89,192.168.1.102,TCP
87.106.1.89,192.168.1.103,HTTP
87.106.1.89,192.168.1.103,TCP
87.106.1.89,192.168.1.104,HTTP
87.106.1.89,192.168.1.104,TCP
87.106.1.89,192.168.1.105,HTTP
87.106.1.89,192.168.1.105,TCP
87.106.1.89,192.168.1.2,HTTP
87.106.1.89,192.168.1.2,TCP
87.106.12.47,192.168.1.102,HTTP
87.106.12.47,192.168.1.102,TCP
87.106.12.47,192.168.1.103,HTTP
87.106.12.47,192.168.1.103,TCP
87.106.12.47,192.168.1.104,HTTP
87.106.12.47,192.168.1.104,TCP
87.106.12.47,192.168.1.105,HTTP
87.106.12.47,192.168.1.105,TCP
87.106.12.47,192.168.1.2,HTTP
87.106.12.47,192.168.1.2,TCP
87.106.12.77,192.168.1.102,HTTP
87.106.12.77,192.168.1.102,TCP
87.106.12.77,192.168.1.103,HTTP
87.106.12.77,192.168.1.103,TCP
87.106.12.77,192.168.1.104,HTTP
87.106.12.77,192.168.1.104,TCP
87.106.12.77,192.168.1.105,HTTP
87.106.12.77,192.168.1.105,TCP
87.106.12.77,192.168.1.2,HTTP
87.106.12.77,192.168.1.2,TCP
87.106.13.62,192.168.1.102,HTTP
87.106.13.62,192.168.1.102,TCP
87.106.13.62,192.168.1.103,HTTP
87.106.13.62,192.168.1.103,TCP
87.106.13.62,192.168.1.104,HTTP
87.106.13.62,192.168.1.104,TCP
87.106.13.62,192.168.1.105,HTTP
87.106.13.62,192.168.1.105,TCP
87.106.13.62,192.168.1.2,HTTP
87.106.13.62,192.168.1.2,TCP
87.106.66.233,192.168.1.102,HTTP
87.106.66.233,192.168.1.102,TCP
87.106.66.233,192.168.1.103,HTTP
87.106.66.233,192.168.1.103,TCP
87.106.66.233,192.168.1.104,HTTP
87.106.66.233,192.168.1.104,TCP
87.106.66.233,192.168.1.105,HTTP
87.106.66.233,192.168.1.105,TCP
87.106.66.233,192.168.1.2,HTTP
87.106.66.233,192.168.1.2,TCP
87.106.9.29,192.168.1.102,HTTP
87.106.9.29,192.168.1.102,TCP
87.106.9.29,192.168.1.103,HTTP
87.106.9.29,192.168.1.103,TCP
87.106.9.29,192.168.1.104,HTTP
87.106.9.29,192.168.1.104,TCP
87.106.9.29,192.168.1.105,HTTP
87.106.9.29,192.168.1.105,TCP
87.106.9.29,192.168.1.2,HTTP
87.106.9.29,192.168.1.2,TCP
96.17.110.137,192.168.1.2,HTTP
96.17.110.137,192.168.1.2,TCP
96.17.110.139,192.168.1.2,HTTP/XML
96.17.110.139,192.168.1.2,TCP
96.17.148.121,192.168.1.2,HTTP/XML
96.17.148.121,192.168.1.2,TCP
96.6.127.147,192.168.1.2,HTTP
96.6.127.147,192.168.1.2,TCP
98.119.179.100,192.168.1.3,TCP
98.119.179.100,192.168.1.3,TLSv1
