Source,Destination,Protocol
192.168.1.103,68.216.79.113,TCP
192.168.1.103,87.106.1.47,HTTP/XML
192.168.1.103,87.106.1.47,TCP
192.168.1.103,87.106.1.89,HTTP/XML
192.168.1.103,87.106.1.89,TCP
192.168.1.103,87.106.12.47,HTTP/XML
192.168.1.103,87.106.12.47,TCP
192.168.1.103,87.106.12.77,HTTP/XML
192.168.1.103,87.106.12.77,TCP
192.168.1.103,87.106.13.61,TCP
192.168.1.103,87.106.13.62,HTTP/XML
192.168.1.103,87.106.13.62,TCP
192.168.1.103,87.106.66.233,HTTP/XML
192.168.1.103,87.106.66.233,TCP
192.168.1.103,87.106.9.29,HTTP/XML
192.168.1.103,87.106.9.29,TCP
192.168.1.104,132.163.4.101,TCP
192.168.1.104,192.168.1.1,DHCP
192.168.1.104,192.168.1.1,DNS
192.168.1.104,192.168.1.1,LANMAN
192.168.1.104,192.168.1.1,NBNS
192.168.1.104,192.168.1.1,NBSS
192.168.1.104,192.168.1.1,SMB
192.168.1.104,192.168.1.1,TCP
192.168.1.104,192.168.1.255,BROWSER
192.168.1.104,192.168.1.255,NBNS
192.168.1.104,198.189.255.75,HTTP
192.168.1.104,198.189.255.75,TCP
192.168.1.104,198.189.255.89,HTTP
192.168.1.104,198.189.255.89,TCP
192.168.1.104,207.46.232.182,NTP
192.168.1.104,208.111.170.88,HTTP
192.168.1.104,208.111.170.88,TCP
192.168.1.104,212.227.96.110,HTTP/XML
192.168.1.104,212.227.96.110,TCP
192.168.1.104,212.227.97.133,HTTP/XML
192.168.1.104,212.227.97.133,TCP
192.168.1.104,212.4.138.232,TCP
192.168.1.104,212.58.226.139,HTTP
192.168.1.104,212.58.226.139,TCP
192.168.1.104,212.96.161.238,HTTP
192.168.1.104,212.96.161.238,TCP
192.168.1.104,216.218.224.233,HTTP
192.168.1.104,216.218.224.233,TCP
192.168.1.104,216.218.224.235,HTTP
192.168.1.104,216.218.224.235,TCP
192.168.1.104,239.255.255.250,SSDP
192.168.1.104,255.255.255.255,DHCP
192.168.1.104,63.245.209.93,HTTP
192.168.1.104,63.245.209.93,TCP
192.168.1.104,65.55.185.26,HTTP
192.168.1.104,65.55.185.26,TCP
192.168.1.104,65.55.185.26,TLSv1
192.168.1.104,74.125.164.103,HTTP
192.168.1.104,74.125.164.103,TCP
192.168.1.104,74.125.164.81,HTTP
192.168.1.104,74.125.164.81,TCP
192.168.1.104,74.125.164.85,HTTP
192.168.1.104,74.125.164.85,TCP
192.168.1.104,74.125.164.86,HTTP
192.168.1.104,74.125.164.86,TCP
192.168.1.104,74.125.164.94,HTTP
192.168.1.104,74.125.164.94,TCP
192.168.1.104,74.125.164.97,HTTP
192.168.1.104,74.125.164.97,TCP
192.168.1.104,74.125.19.101,HTTP
192.168.1.104,74.125.19.101,TCP
192.168.1.104,74.125.19.102,HTTP
192.168.1.104,74.125.19.102,TCP
192.168.1.104,74.125.19.113,HTTP
192.168.1.104,74.125.19.113,TCP
192.168.1.104,74.125.19.138,HTTP
192.168.1.104,74.125.19.138,TCP
192.168.1.104,74.125.19.147,HTTP
192.168.1.104,74.125.19.147,TCP
192.168.1.104,77.67.44.206,HTTP
192.168.1.104,77.67.44.206,TCP
192.168.1.104,87.106.1.47,HTTP/XML
192.168.1.104,87.106.1.47,TCP
192.168.1.104,87.106.1.89,HTTP/XML
192.168.1.104,87.106.1.89,TCP
192.168.1.104,87.106.12.47,HTTP/XML
192.168.1.104,87.106.12.47,TCP
192.168.1.104,87.106.12.77,HTTP/XML
192.168.1.104,87.106.12.77,TCP
192.168.1.104,87.106.13.61,TCP
192.168.1.104,87.106.13.62,HTTP/XML
192.168.1.104,87.106.13.62,TCP
192.168.1.104,87.106.66.233,HTTP/XML
192.168.1.104,87.106.66.233,TCP
192.168.1.104,87.106.9.29,HTTP/XML
192.168.1.104,87.106.9.29,TCP
192.168.1.105,129.6.15.28,TCP
192.168.1.105,129.6.15.29,TCP
192.168.1.105,132.163.4.102,TCP
192.168.1.105,168.143.19.95,HTTP
192.168.1.105,168.143.19.95,TCP
192.168.1.105,192.168.1.1,DHCP
192.168.1.105,192.168.1.1,DNS
192.168.1.105,192.168.1.255,BROWSER
192.168.1.105,192.168.1.255,NBNS
192.168.1.105,198.189.255.75,HTTP
